  i           filename[i]         MJD  year  mm  dd      i_flux   i_mag  mg8807ew  mg_8807_flux  fe8689ew  fe_8689_flux   K7700ew   K_7700_flux   K7326ew   K_7326_flux   K7016ew   K_7016_flux  Li6708ew  Li_6708_flux  bl6500ew  bl_6500_flux  ca6122ew  ca_6122_flux  un5660ew  un_5660_flux  un5270ew  un_5270_flux
192         1772370i.fits  57029.3906  2015   1   7    0.209156   1.699  0.043869    0.00012391  0.046309    0.00011975  0.060209    0.00009442  0.029578    0.00004275  0.021028    0.00002527  0.055854    0.00005148  0.132800    0.00011654  0.086396    0.00006461  0.077124    0.00004258  0.398808    0.00017482
193         1772371i.fits  57029.4023  2015   1   7    0.203315   1.730  0.044558    0.00012318  0.045232    0.00011395  0.060077    0.00009281  0.029853    0.00004252  0.023321    0.00002759  0.052930    0.00004661  0.139517    0.00012182  0.084006    0.00006088  0.079925    0.00004370  0.397222    0.00017384
194         1772372i.fits  57029.4141  2015   1   7    0.200304   1.746  0.042729    0.00011470  0.043620    0.00010607  0.060585    0.00009045  0.029383    0.00004066  0.020505    0.00002348  0.052687    0.00004476  0.131627    0.00011278  0.082829    0.00005863  0.103411    0.00005699  0.392600    0.00016392
195         1772714i.fits  57030.3359  2015   1   8    0.166581   1.946  0.040334    0.00009145  0.040097    0.00008217  0.055184    0.00007074  0.029004    0.00003298  0.018722    0.00001752  0.051271    0.00003740  0.125075    0.00008542  0.079217    0.00004662  0.084290    0.00003779  0.361500    0.00012895
196         1772715i.fits  57030.3477  2015   1   8    0.155696   2.019  0.039128    0.00008242  0.042649    0.00008365  0.054658    0.00006313  0.026680    0.00002799  0.019469    0.00001695  0.048030    0.00003052  0.112620    0.00007125  0.077672    0.00004137  0.093678    0.00003968  0.341235    0.00010898
197         1772716i.fits  57030.3633  2015   1   8    0.158208   2.002  0.038875    0.00008340  0.040095    0.00007779  0.054441    0.00006436  0.029997    0.00003278  0.019574    0.00001733  0.050311    0.00003348  0.122405    0.00008363  0.080844    0.00004476  0.094983    0.00003998  0.318101    0.00010186
198         1772717i.fits  57030.3750  2015   1   8    0.152851   2.039  0.041321    0.00008728  0.042885    0.00008243  0.053390    0.00006206  0.027154    0.00002819  0.019197    0.00001669  0.047552    0.00003034  0.125646    0.00007774  0.083074    0.00004339  0.071668    0.00002797  0.333756    0.00010641
199         1772915i.fits  57031.3320  2015   1   9    0.212720   1.680  0.041140    0.00011828  0.040564    0.00010604  0.054809    0.00008657  0.022923    0.00003294  0.021546    0.00002621  0.049096    0.00004448  0.122380    0.00010551  0.076817    0.00005510  0.084668    0.00004533  0.349271    0.00014638
200         1772916i.fits  57031.3438  2015   1   9    0.205278   1.719  0.040318    0.00011218  0.040235    0.00010118  0.055589    0.00008484  0.027431    0.00003798  0.017978    0.00002045  0.047434    0.00004034  0.116895    0.00009905  0.076418    0.00005309  0.080213    0.00004078  0.351219    0.00014196
201         1772917i.fits  57031.3594  2015   1   9    0.221310   1.637  0.040736    0.00012137  0.040047    0.00010876  0.054161    0.00008955  0.028567    0.00004305  0.018833    0.00002359  0.047339    0.00004300  0.115177    0.00010540  0.069457    0.00005245  0.082845    0.00004706  0.316121    0.00013604
202         1772918i.fits  57031.3711  2015   1   9    0.215814   1.665  0.039265    0.00011552  0.038919    0.00010432  0.053879    0.00008775  0.025707    0.00003736  0.019101    0.00002393  0.047722    0.00004336  0.114603    0.00009995  0.077009    0.00005701  0.103966    0.00005920  0.322332    0.00013889
203         1773156i.fits  57032.3320  2015   1  10    0.133340   2.188  0.031779    0.00005543  0.036544    0.00005916  0.040186    0.00004034  0.025030    0.00002313  0.017536    0.00001365  0.040967    0.00002562  0.109555    0.00006384  0.067354    0.00003366  0.090402    0.00003623  0.251324    0.00008102
204         1773157i.fits  57032.3477  2015   1  10    0.154580   2.027  0.034954    0.00007147  0.034775    0.00006547  0.043223    0.00005046  0.024160    0.00002717  0.016009    0.00001457  0.041687    0.00003008  0.111490    0.00007829  0.066058    0.00003910  0.071932    0.00003322  0.294104    0.00011376
205         1773158i.fits  57032.3594  2015   1  10    0.150974   2.053  0.036813    0.00007399  0.034823    0.00006429  0.043096    0.00004931  0.025781    0.00002748  0.015268    0.00001346  0.040151    0.00002732  0.106257    0.00007125  0.061784    0.00003624  0.074434    0.00003385  0.262918    0.00009868
206         1773159i.fits  57032.3711  2015   1  10    0.154597   2.027  0.035873    0.00007227  0.035035    0.00006434  0.044264    0.00005115  0.024872    0.00002636  0.017114    0.00001517  0.042183    0.00002884  0.114326    0.00007867  0.065295    0.00003722  0.064917    0.00002875  0.238722    0.00008793
207         1773360i.fits  57033.3828  2015   1  11    0.281894   1.375  0.036934    0.00013670  0.037071    0.00012667  0.044596    0.00009666  0.023916    0.00004661  0.018604    0.00003061  0.044544    0.00005763  0.116013    0.00014216  0.068877    0.00007038  0.080566    0.00006305  0.288451    0.00017701
208         1773361i.fits  57033.3984  2015   1  11    0.264807   1.443  0.037250    0.00013239  0.037486    0.00012290  0.046872    0.00009529  0.027540    0.00005101  0.020602    0.00003177  0.043948    0.00005141  0.116807    0.00013354  0.071869    0.00006891  0.089320    0.00006769  0.299065    0.00016567
209         1773362i.fits  57033.4180  2015   1  11    0.253219   1.491  0.038546    0.00013079  0.039904    0.00012409  0.046664    0.00008894  0.027020    0.00004773  0.020807    0.00003009  0.047665    0.00005381  0.117210    0.00012546  0.072212    0.00006509  0.077719    0.00005288  0.331753    0.00017958
210         1773363i.fits  57033.4375  2015   1  11    0.253090   1.492  0.040650    0.00013881  0.040998    0.00012989  0.048517    0.00009438  0.028182    0.00005044  0.021730    0.00003210  0.046504    0.00005231  0.113598    0.00012420  0.074270    0.00006775  0.075268    0.00005078  0.337183    0.00018386
211         1773642i.fits  57034.3086  2015   1  12    0.254992   1.484  0.039207    0.00013219  0.037489    0.00011589  0.043879    0.00008698  0.022455    0.00004003  0.019408    0.00002918  0.041921    0.00004827  0.105962    0.00012058  0.066827    0.00006383  0.069126    0.00005100  0.265228    0.00015218
212         1773643i.fits  57034.3242  2015   1  12    0.253199   1.491  0.038292    0.00012777  0.038287    0.00011736  0.043677    0.00008430  0.025573    0.00004602  0.017456    0.00002617  0.042453    0.00004920  0.108013    0.00012027  0.071021    0.00006779  0.064457    0.00004681  0.273485    0.00015780
213         1773644i.fits  57034.3438  2015   1  12    0.256052   1.479  0.038063    0.00012817  0.037596    0.00011655  0.041955    0.00008160  0.026617    0.00004870  0.018202    0.00002753  0.044104    0.00005128  0.114584    0.00013019  0.068157    0.00006633  0.081944    0.00006100  0.275710    0.00015903
214         1773645i.fits  57034.3633  2015   1  12    0.263125   1.450  0.038115    0.00013161  0.036346    0.00011543  0.043699    0.00008724  0.026820    0.00005038  0.019263    0.00003001  0.042603    0.00005075  0.111525    0.00013313  0.070922    0.00007131  0.070885    0.00005381  0.294895    0.00018175
215         1773812i.fits  57035.2305  2015   1  13    0.209832   1.695  0.044431    0.00012535  0.042635    0.00011068  0.058279    0.00009534  0.029376    0.00004329  0.021311    0.00002642  0.050828    0.00004624  0.132555    0.00011923  0.078851    0.00005961  0.077129    0.00004220  0.382628    0.00016550
216         1773813i.fits  57035.2422  2015   1  13    0.227030   1.610  0.043643    0.00013316  0.043406    0.00012158  0.057428    0.00010132  0.029851    0.00004740  0.022000    0.00002899  0.050830    0.00005046  0.130737    0.00012667  0.081310    0.00006692  0.084606    0.00005168  0.375592    0.00017837
217         1773814i.fits  57035.2539  2015   1  13    0.231759   1.587  0.043814    0.00013747  0.043174    0.00012390  0.057129    0.00010267  0.028762    0.00004637  0.021657    0.00002934  0.051036    0.00005208  0.122968    0.00012311  0.082529    0.00007023  0.088085    0.00005571  0.399070    0.00019975
218         1773815i.fits  57035.2656  2015   1  13    0.236350   1.566  0.043179    0.00013811  0.045725    0.00013288  0.056779    0.00010413  0.029436    0.00004862  0.022945    0.00003167  0.050766    0.00005314  0.134034    0.00013820  0.081221    0.00006974  0.080734    0.00005157  0.373613    0.00018449
219         1774085i.fits  57036.4258  2015   1  14    0.191835   1.793  0.044804    0.00011815  0.044220    0.00010582  0.058761    0.00008379  0.029082    0.00003784  0.020867    0.00002227  0.046935    0.00003988  0.127845    0.00010076  0.082704    0.00005325  0.081457    0.00003833  0.388521    0.00014221
220         1774086i.fits  57036.4375  2015   1  14    0.179313   1.866  0.041590    0.00010184  0.042753    0.00009574  0.059417    0.00008067  0.028843    0.00003460  0.021879    0.00002205  0.054316    0.00004153  0.125466    0.00008866  0.087000    0.00005185  0.078236    0.00003368  0.391275    0.00013404
221         1774087i.fits  57036.4492  2015   1  14    0.195734   1.771  0.044270    0.00012032  0.043729    0.00010739  0.058250    0.00008555  0.028813    0.00003869  0.023608    0.00002612  0.053907    0.00004461  0.139324    0.00011385  0.084533    0.00005628  0.086363    0.00004210  0.399444    0.00015444
222         1774088i.fits  57036.4609  2015   1  14    0.196096   1.769  0.044478    0.00012012  0.045632    0.00011282  0.056660    0.00008355  0.030031    0.00004099  0.021507    0.00002368  0.053152    0.00004421  0.123579    0.00009744  0.084720    0.00005712  0.086055    0.00004182  0.373705    0.00014154
223         1774359i.fits  57037.1914  2015   1  15    0.230992   1.591  0.040373    0.00012118  0.039670    0.00011031  0.047310    0.00008856  0.029030    0.00005010  0.019280    0.00002832  0.033207    0.00003884  0.102826    0.00010997  0.066947    0.00005665  0.080994    0.00005209  0.324369    0.00019349
224         1774360i.fits  57037.2031  2015   1  15    0.200254   1.746  0.042718    0.00011575  0.043110    0.00010765  0.058407    0.00008882  0.031319    0.00004302  0.017878    0.00002002  0.051844    0.00004348  0.119251    0.00009832  0.081682    0.00005588  0.084463    0.00004246  0.389715    0.00015290
225         1774361i.fits  57037.2148  2015   1  15    0.195934   1.770  0.044438    0.00011852  0.044573    0.00010882  0.061231    0.00009252  0.029347    0.00003917  0.019581    0.00002154  0.051698    0.00004283  0.122051    0.00009793  0.083738    0.00005614  0.081812    0.00004043  0.397775    0.00015188
226         1774362i.fits  57037.2266  2015   1  15    0.198933   1.753  0.044813    0.00012137  0.041619    0.00010312  0.062476    0.00009506  0.030506    0.00004155  0.024579    0.00002762  0.052239    0.00004492  0.125222    0.00010114  0.081294    0.00005539  0.089643    0.00004588  0.384110    0.00014635
